GEOID,dac_status,nearest_sta_miles,second_nearest_sta_miles,stas_05mi,stas_10mi,stas_20mi,stas_55mi,stations,bg_sta1d,bg_sta2d
060014064001,not DAC status,2.5312576642753943,4.875306410978513,2,2,5,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014064002,not DAC status,2.296712623770513,4.640761370473632,2,2,5,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014065001,not DAC status,3.082999051076449,5.427047797779568,1,2,5,16,20,Nearest station within 5 miles,Second-nearest station 5-10 miles away
060014065002,not DAC status,3.6968640816215856,6.040912828324705,1,2,5,16,20,Nearest station within 5 miles,Second-nearest station 5-10 miles away
060014065003,not DAC status,3.500287608290379,5.763856069326914,1,2,5,16,20,Nearest station within 5 miles,Second-nearest station 5-10 miles away
060014065004,not DAC status,3.2950637276933645,5.639112474396483,1,2,5,16,20,Nearest station within 5 miles,Second-nearest station 5-10 miles away
060014066011,not DAC status,3.1338799150589263,5.477928661762045,1,2,5,16,20,Nearest station within 5 miles,Second-nearest station 5-10 miles away
060014066012,not DAC status,2.9143525518748468,5.258401298577965,1,2,5,16,20,Nearest station within 5 miles,Second-nearest station 5-10 miles away
060014066013,not DAC status,2.7592887008408074,5.103337447543926,1,2,5,16,20,Nearest station within 5 miles,Second-nearest station 5-10 miles away
060014066014,not DAC status,3.2158534005940655,5.559902147297184,1,2,5,16,20,Nearest station within 5 miles,Second-nearest station 5-10 miles away
060014066021,not DAC status,2.533867251527784,4.877915998230902,2,2,5,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014066022,not DAC status,2.590370654943467,4.934419401646585,2,2,5,16,20,Nearest station within 5 miles,Second-nearest station within 5 miles
060014067001,not DAC status,3.9599400649970318,6.101567109909547,1,2,6,16,20,Nearest station within 5 miles,Second-nearest station 5-10 miles away
060014067002,not DAC status,3.106578795781899,5.450627542485018,1,2,5,16,20,Nearest station within 5 miles,Second-nearest station 5-10 miles away
060014067003,not DAC status,2.8721260594634908,5.2161748061666096,1,2,5,16,20,Nearest station within 5 miles,Second-nearest station 5-10 miles away
060014067004,not DAC status,3.036897317000342,5.38094606370346,1,2,6,16,20,Nearest station within 5 miles,Second-nearest station 5-10 miles away
060014067005,not DAC status,2.984658511030193,5.328707257733311,1,2,6,16,20,Nearest station within 5 miles,Second-nearest station 5-10 miles away
060014068001,not DAC status,4.295854187825439,6.5922387517005925,1,2,6,16,20,Nearest station within 5 miles,Second-nearest station 5-10 miles away
060014068002,not DAC status,3.846031929351538,6.190080676054657,1,2,5,16,20,Nearest station within 5 miles,Second-nearest station 5-10 miles away
060014068003,not DAC status,3.5751056943269472,5.9191544410300665,1,2,5,16,20,Nearest station within 5 miles,Second-nearest station 5-10 miles away
